Jantina,Status,Negeri,Salary,House,Years,Housesize,kitchensize,Pecah_dinding,flooring,flooring work,flooring_material,siling,Siling_material,Kabinet Dapur,Design_Cabinet,Jenis_Cabinet,saizbaseunit(ft),saizwallunit(ft),Saiztinggibaseunit(ft),Saiztinggiwallunit (ft),saiz tall cabinet (ft),Buitin_cabinet,materia_pintukabinet,material_handle,countertop,Materialcountertop,backsplash_wall ,Backplash_wallwork,Material_backsplash,Plumbing,sinki,Elektrik,Wiring_surface,wiring_conceal,Kerja_mengecat,Kos_upah,Kos_keseluruhan
Perempuan,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Semi D,30,4000,489,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,10000,15343
Perempuan,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Semi D,20,3476,354,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,9876,16000
Perempuan,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,2345,300,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,10234,15463
Lelaki,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Semi D,20,3021,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,11000,13000
Perempuan,Kahwin,Terengganu,"M40 ( RM4,360 - RM 9,619 )",Semi D,20,4021,400,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,12000,16032
Lelaki,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Semi D,20,2109,180,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Fridge;Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Tidak,9999,15000
Perempuan,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Semi D,20,3677,230,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Ya,11000,14000
Perempuan,Kahwin,Melaka,"M40 ( RM4,360 - RM 9,619 )",Semi D,10,2600,300,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Microwave;Stove,4G Glass Door,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas,Tidak,9876,13000
Lelaki,Kahwin,Terengganu,B40 ( < RM 4360 ),Teres,5,1421,190,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling kapur/siling plaster,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",7,7,3,4,2,Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Tiada,Ya,9000,14000
Perempuan,Kahwin,Terengganu,"M40 ( RM4,360 - RM 9,619 )",Teres,5,1765,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling kapur/siling plaster,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",8,8,3,4,2,Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,9065,14321
Perempuan,Kahwin,Terengganu,"M40 ( RM4,360 - RM 9,619 )",Teres,5,1432,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling kapur/siling plaster,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Fridge;Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,10654,14987
Perempuan,Bujang,Terengganu,"M40 ( RM4,360 - RM 9,619 )",Teres,10,2000,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling kapur/siling plaster,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Fridge;Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,11000,15098
Perempuan,Kahwin,Terengganu,B40 ( < RM 4360 ),Teres,30,2021,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling kapur/siling plaster,Ya,Island,Base unit;wall unit,9,9,3,4,0,Stove,Melamine,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Tiada,Tidak,10231,16091
Perempuan,Kahwin,Kelantan,B40 ( < RM 4360 ),Teres,20,2000,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling composite,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Microwave;Stove,Melamine,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13000,17000
Perempuan,Kahwin,Kelantan,B40 ( < RM 4360 ),Teres,20,2043,231,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling composite,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13785,17091
Perempuan,Kahwin,Kelantan,B40 ( < RM 4360 ),Teres,10,2056,270,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,13052,17564
Perempuan,Kahwin,Kelantan,"M40 ( RM4,360 - RM 9,619 )",Teres,20,2000,245,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Oven;Microwave;Stove,3G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Tiada,Ya,12999,16999
Perempuan,Kahwin,Kelantan,"T20 ( > RM 9,619 )",Teres,20,3021,311,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Tiada,Ya,13000,16555
Perempuan,Kahwin,Kelantan,"M40 ( RM4,360 - RM 9,619 )",Teres,10,2098,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,13000,17000
Perempuan,Kahwin,Pahang,B40 ( < RM 4360 ),Teres,10,2341,241,Ya,Ya,Memasang lantai baru;Tiada,Jubin Marmar atau Granit (Natural Stones),Ya,Siling gantung,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Aluminium Built-in,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,12000,16090
Perempuan,Kahwin,Pahang,"M40 ( RM4,360 - RM 9,619 )",Teres,10,1765,120,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,Base unit;wall unit,8,8,3,4,0,Stove,4G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,11115,14000
Perempuan,Bujang,Pahang,"M40 ( RM4,360 - RM 9,619 )",Teres,10,1342,120,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,Base unit;wall unit,8,8,3,4,0,Stove,4G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Tidak,9000,15000
Perempuan,Bujang,Pahang,"T20 ( > RM 9,619 )",Apartmen,10,1765,170,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,Base unit;wall unit,7,7,3,4,0,Stove,4G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Ya,9999,14021
Perempuan,Bujang,Pahang,B40 ( < RM 4360 ),Apartmen,10,1765,170,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,Base unit;wall unit,7,7,3,4,0,Stove,3G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Ya,9876,14999
Perempuan,Bujang,Pahang,"M40 ( RM4,360 - RM 9,619 )",Apartmen,10,1687,180,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,Base unit;wall unit,7,7,3,4,0,Stove,3G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Tidak,9999,14994
Perempuan,Kahwin,Pahang,"T20 ( > RM 9,619 )",Apartmen,10,2000,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,Base unit;wall unit,8,8,3,4,0,Stove,3G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Tidak,10333,15098
Perempuan,Bujang,Pahang,"T20 ( > RM 9,619 )",Apartmen,20,2391,250,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,4,2,Microwave;Stove,3G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Tidak,10222,15444
Perempuan,Kahwin,Perak,B40 ( < RM 4360 ),Apartmen,20,2000,230,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L �??shape,Base unit;wall unit,15,10,3,2.5,0,Stove,MDF Board Panel,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7000,9000
Perempuan,Kahwin,Perak,B40 ( < RM 4360 ),Apartmen,20,2354,300,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",13,10,3,4,2,Oven;Microwave;Stove,MDF Board Panel,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7432,9030
Perempuan,Kahwin,Perak,"M40 ( RM4,360 - RM 9,619 )",Apartmen,20,3214,400,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,L �??shape,Base unit;wall unit,13,10,3,2.5,0,Stove,MDF Board Panel,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7999,9213
